Date,Open,High,Low,Close,Volume
6/6/2016 16:00:00,726.5,731.5,724.42,726.73,2704806
6/7/2016 16:00:00,729.89,730,720.55,723.74,2732463
6/8/2016 16:00:00,726.4,729.42,721.6,726.64,2223366
6/9/2016 16:00:00,723.1,728.91,722.3,727.65,2170318
6/10/2016 16:00:00,722.35,724.98,714.21,717.91,3425718
6/13/2016 16:00:00,714.01,721.99,711.16,715.24,3352201
6/14/2016 16:00:00,712.33,720.81,712.27,719.3,2506922
6/15/2016 16:00:00,722,722.56,713.35,714.26,2709447
6/16/2016 16:00:00,712.05,718,705.3,717.51,3097961
6/17/2016 16:00:00,718.19,718.2,699.18,706.39,5897788
6/20/2016 16:00:00,713.5,721.31,710.81,714.01,3677162
6/21/2016 16:00:00,715.72,718.4,712.72,715.82,2137534
6/22/2016 16:00:00,716.58,717,707.57,710.6,2260454
6/23/2016 16:00:00,715.5,722.12,712.5,722.08,2824974
6/24/2016 16:00:00,693,712.53,692.2,698.96,7632511
6/27/2016 16:00:00,692.01,696.82,682.12,691.36,5584037
6/28/2016 16:00:00,700,708,698.17,707.95,4036957
6/29/2016 16:00:00,715.75,719.5,713.54,715.6,3070052
6/30/2016 16:00:00,717.2,719.37,712.54,715.62,2855142
7/1/2016 16:00:00,717.32,728,716.54,725.68,2920423
7/5/2016 16:00:00,722.8,728.11,719.61,728.1,2431431
7/6/2016 16:00:00,725.71,737.77,722.58,737.61,3938249
7/7/2016 16:00:00,739.33,739.55,731.63,736.57,2945783
7/8/2016 16:00:00,740.14,746.1,738,745.81,3429217
7/11/2016 16:00:00,750,755.9,747,753.78,3195272
7/12/2016 16:00:00,756.86,757.34,740.33,748.21,5623657
7/13/2016 16:00:00,746.76,756.87,741.25,742.63,4142265
7/14/2016 16:00:00,748.86,749.04,739.02,741.2,2390472
7/15/2016 16:00:00,746.55,746.55,734.05,735.44,3121385
7/18/2016 16:00:00,735.49,741.6,728.72,736.07,2954914
7/19/2016 16:00:00,732.5,743.33,732.31,739.95,2216820
7/20/2016 16:00:00,744,746.25,740.7,745.72,2214023
